date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:34:29	147084/147084	---MCZ	200	added ('OK')	binary/octet-stream	etag:W/%2238394ca16133f78363850eb0ebc16c36%22	https://assets.jimstatic.com/38394ca16133f78363850eb0ebc16c36.eot?	C:/My%20Web%20Sites/ausLiebezumLeder/assets.jimstatic.com/38394ca16133f78363850eb0ebc16c36d41d.eot	(from https://assets.jimstatic.com/web.css.816260a6340cec295176cad51e0fc775.css)
13:34:29	146948/146948	---MCZ	200	added ('OK')	binary/octet-stream	etag:W/%22a984717a9f4ef00fa217fc58c3ff86a6%22	https://assets.jimstatic.com/a984717a9f4ef00fa217fc58c3ff86a6.woff	C:/My%20Web%20Sites/ausLiebezumLeder/assets.jimstatic.com/a984717a9f4ef00fa217fc58c3ff86a6.woff	(from https://assets.jimstatic.com/web.css.816260a6340cec295176cad51e0fc775.css)
13:34:29	146872/146872	---MCZ	200	added ('OK')	binary/octet-stream	etag:W/%2292d755b23dfbe5bd5ac566c8df9e7827%22	https://assets.jimstatic.com/92d755b23dfbe5bd5ac566c8df9e7827.ttf	C:/My%20Web%20Sites/ausLiebezumLeder/assets.jimstatic.com/92d755b23dfbe5bd5ac566c8df9e7827.ttf	(from https://assets.jimstatic.com/web.css.816260a6340cec295176cad51e0fc775.css)
13:34:30	712420/712420	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f7b79a3d76e79248879a74cd4fadbb14%22	https://assets.jimstatic.com/f7b79a3d76e79248879a74cd4fadbb14.svg	C:/My%20Web%20Sites/ausLiebezumLeder/assets.jimstatic.com/f7b79a3d76e79248879a74cd4fadbb14.svg	(from https://assets.jimstatic.com/web.css.816260a6340cec295176cad51e0fc775.css)
13:34:30	2661/2661	---MCZ	200	added ('OK')	image/png	etag:W/%22e1ca6e007c91d4ef9ee063940b504870%22	https://assets.jimstatic.com/e1ca6e007c91d4ef9ee063940b504870.png	C:/My%20Web%20Sites/ausLiebezumLeder/assets.jimstatic.com/e1ca6e007c91d4ef9ee063940b504870.png	(from https://assets.jimstatic.com/web.css.816260a6340cec295176cad51e0fc775.css)
13:34:30	2097/2097	---MCZ	200	added ('OK')	image/gif	etag:W/%22d32401d55ec237cee50e487c6eefa908%22	https://assets.jimstatic.com/d32401d55ec237cee50e487c6eefa908.gif	C:/My%20Web%20Sites/ausLiebezumLeder/assets.jimstatic.com/d32401d55ec237cee50e487c6eefa908.gif	(from https://assets.jimstatic.com/web.css.816260a6340cec295176cad51e0fc775.css)
13:34:30	2118/2118	---MCZ	200	added ('OK')	image/png	etag:W/%229e4dc55ad6bdd8b8bafced6241dac621%22	https://assets.jimstatic.com/9e4dc55ad6bdd8b8bafced6241dac621.png	C:/My%20Web%20Sites/ausLiebezumLeder/assets.jimstatic.com/9e4dc55ad6bdd8b8bafced6241dac621.png	(from https://assets.jimstatic.com/web.css.816260a6340cec295176cad51e0fc775.css)
13:34:31	1554/1554	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b257fa9c5ac8c515ac4d77a667ce2943%22	https://assets.jimstatic.com/b257fa9c5ac8c515ac4d77a667ce2943.svg	C:/My%20Web%20Sites/ausLiebezumLeder/assets.jimstatic.com/b257fa9c5ac8c515ac4d77a667ce2943.svg	(from https://assets.jimstatic.com/web.css.816260a6340cec295176cad51e0fc775.css)
13:34:32	4674/4674	---M--	200	added ('OK')	image/jpeg	etag:%225dbeca9db6c0344392a480ec32db64514c1e8360%22	https://image.jimcdn.com/app/cms/image/transf/dimension=102x10000:format=jpg/path/s9c80fa3253488916/image/if82bd76e43f82d2e/version/1731257680/image.jpg	C:/My%20Web%20Sites/ausLiebezumLeder/image.jimcdn.com/app/cms/image/transf/dimension=102x10000_format=jpg/path/s9c80fa3253488916/image/if82bd76e43f82d2e/version/1731257680/image.jpg	(from https://www.ausliebezumleder.at/kontakt/)
13:34:32	2687287/2687287	---M--	200	added ('OK')	image/jpeg	etag:%223f00c1110ac82b3e47ed79d70bd90dff%22	https://image.jimcdn.com/app/cms/image/transf/none/path/s9c80fa3253488916/backgroundarea/i85cdf23b8b5b2c02/version/1731397850/image.jpg	C:/My%20Web%20Sites/ausLiebezumLeder/image.jimcdn.com/app/cms/image/transf/none/path/s9c80fa3253488916/backgroundarea/i85cdf23b8b5b2c02/version/1731397850/image.jpg	(from https://www.ausliebezumleder.at/kontakt/)
13:34:32	240/240	---MCZ	403	error ('Forbidden')	application/xml	date:Wed,%2013%20Aug%202025%2011:34:34%20GMT	https://assets.jimstatic.com/robots.txt		(from https://assets.jimstatic.com/web.css.816260a6340cec295176cad51e0fc775.css)
